Antenna Offset from Bow,Antenna Offset from Port,Beam,Builder,Call Sign,Cargo Type,Class Society,COG,Beneficial Owner,Deadweight,Destination,Design Draft,Draft Present Load,ETA,Fishing Number,Flag,Gross Tonnage,Heading,IMO Number,Last Port of Call,Latitude,Length,Longitude,MMSI,Name,Navigation Status,Official Number,Operator,Registered Owner,P And I Club,Port Of Registry,Propulsion Type,Sat Com,Sat Com Ansbk Code,Ship Type,Speed,Status,Sub Status,Subtype,Time of Fix (formatted),Time of Fix (s since 1970),Vessel Type,Year Built,Design Speed,Double Hull
143,15,24,Danyard A/S,C6ZP7,0-AllShips,Bureau Veritas,54.8,Greece,16950,Pactb=>ruled,10,9.1,11181500,null,Bahamas,14406,55,8819926,PUERTO BOLIVAR,39.401518,164,-24.220507,311062400,Ditlev Reefer,0-Underway(Engine),8001978,Cool Carriers AB,Chartworld Shipping Corp,UK P&I,Nassau                                ,Propeller : Controllable Pitch,null,null,null,17.7,S,In Service/Commission,Refrigerated Cargo Ship,"""2022-11-11T15:00:59.000Z""",1668178859,7-Cargo,19/01/1990,20.5,null
105,4,18,Yueqing Donggang Shipbuilding,V3MR2,0-AllShips,Panama Maritime Documentation,31.1,Hong Kong,8541,Jp Otr,6.68,6.8,11052300,null,Belize,5543,142,9528952,OTARU,43.194718,125,141.014908,312900000,He Xie 6,5-Moored,612230190,Ruilong Ship Management Co Ltd,  Unknown,Unknown,Belize City,Propeller : Controllable Pitch,null,null,Other Cargo Ship,0,S,In Service/Commission,General Cargo Ship,"""2022-11-11T16:21:32.000Z""",1668183692,7-Cargo,18/07/2008,12.5,null
77,11,16,null,3ECC7,0-AllShips,null,15,null,null,Dakar,null,5.6,1110600,null,null,null,315,8814237,DAKAR,14.675333,100,-17.362333,371322000,Hai Feng 895,1-AtAnchor,null,null,null,null,null,null,null,null,null,0,null,null,null,"""2021-07-24T13:20:43.000Z""",1627132843,7-Cargo,null,null,null
53,7,14,Rongcheng Yuantong Shipyard,BZVE3,0-AllShips,null,220.2,China,null,,null,10,0,GH-0520,"China, People's Republic Of",3117,220.2,0,PUSAN,23.727537,93,118.776937,412549038,Lurongyuanyuyun999,0-Underway(Engine),3.71082E+15,Rongcheng Rongyuan Fishery,  Unknown,Unknown,"Shidao, Shandong",Propeller : Fixed Pitch,null,null,null,11,S,In Service/Commission,Fish Carrier,"""2022-11-10T11:20:27.000Z""",1668079227,30-Fishing,null,0,null
221,26,50,IHI Corp,3EZP5,9-NoInfo,Det Norske Veritas,100,Bermuda (British),127448,Catcher Field,18.5,15,2460,null,Panama,96616,219,9777280,null,56.77,241,0.713333,355631000,Bw Catcher,3-ResManoeuvre,4907517,BW Offshore Singapore Pte Ltd,BW Offshore Ltd,Gard,Panama,Propeller : Not Applicable,null,null,null,0,S,In Service/Commission,"FPSO (Floating, Production, Storage, Offloading)","""2022-11-11T16:17:15.000Z""",1668183435,8-Tanker,27/08/2016,0,DH
0,0,0,Izutsu,,0-AllShips,Flag authority,277.5,Japan,700,,3.78,0,0,null,Japan,382,195.3,0,CHOSHI,35.750802,0,140.838388,431013322,Namiichimaru No56,15-NotDefined,143521,Namiichi Suisan KK,  Unknown,Unknown,"Kamisu, Ibaraki",Propeller : Fixed Pitch,null,null,null,0,S,In Service/Commission,Fish Carrier,"""2022-11-10T14:26:13.000Z""",1668090373,30-Fishing,20/02/2019,0,SH
0.5,0.5,1,null,,Unknown,null,320.7,null,null,,null,0,0,null,null,null,183.9,0,JAKARTA,-6.099558,1,106.800943,525700193,Km Sinarminaperkasa1,15-NotDefined,null,null,null,null,null,null,null,null,null,0,null,null,null,"""2022-10-20T17:02:17.000Z""",1666285337,0-Unknown,null,null,null
124,12,23,Brodosplit Brodogradiliste doo,C6EY4,0-AllShips,Registro Italiano Navale,314.1,Sweden,12913,Ruled,9.5,7.5,11030300,null,Bahamas,11443,215,9160736,SANKT-PETERBURG,59.893412,155,30.228113,311001035,Baltic Lady,5-Moored,null,Cool Carriers AB,  Unknown,Unknown,Nassau,Propeller : Fixed Pitch,null,null,null,0.2,S,In Service/Commission,Refrigerated Cargo Ship,"""2022-11-11T16:40:03.000Z""",1668184803,7-Cargo,22/10/1999,21.6,null
15,4,8,Johnson J.C. Bainbridge Island,WDD3038,0-AllShips,null,262,United States of America,null,Juneau,null,4,6241200,null,United States Of America,134,27.5,0,ANACORTES,48.754077,30,-122.505817,367122990,Crane,15-NotDefined,284723,Crane Adventures LLC,Crane Adventures LLC,Unknown,"Juneau, AK",Propeller : Fixed Pitch,null,null,null,0,S,In Service/Commission,Yacht,"""2022-08-30T02:02:02.000Z""",1661824922,30-Fishing,null,10,SH
100,8,18,Kochi Jyuko,3FDZ4,9-NoInfo,CR Classification Society,13.4,Taiwan,6541,Cn Zos,7.317,6,10231300,null,Panama,4964,14,8518819,RABAUL,30.165248,125,122.139673,352085000,Hua Fu 107,5-Moored,4174010B,Hua Fu Intl Group SA,Hua Fu Intl Group SA,Shipowners' Club,Panama,Propeller : Fixed Pitch,435208512,null,null,0,S,In Service/Commission,Refrigerated Cargo Ship,"""2022-11-05T03:53:26.000Z""",1667620406,9-Other,06/02/1986,17,null
40,3,8,Vaagland Batbyggeri AS,CA7455,0-AllShips,null,337.3,Chile,null,Puerto Montt,4.8,5,11111200,null,Chile,498,352.3,7013862,PUERTO MONTT,-41.519803,50,-73.037788,725002929,Brudanes,0-Underway(Engine),3436,Frasal SA,  Unknown,Unknown,Valparaiso,Propeller : Controllable Pitch,null,null,null,0,S,In Service/Commission,Fish Carrier,"""2022-11-11T16:31:01.000Z""",1668184261,7-Cargo,null,0,SH
0,0,0,"Tin, Hong",YEB5628,0-AllShips,null,235.4,Indonesia,null,,null,0,0,null,Indonesia,88,235.4,0,BITUNG,1.450013,0,125.209027,525600244,Nusantara Jaya,15-NotDefined,null,Bintang Mandiri Bersaudara PT,  Unknown,Unknown,Benoa,Propeller : Fixed Pitch,null,null,null,0.4,S,In Service/Commission,Fish Carrier,"""2022-06-06T21:59:32.000Z""",1654552772,30-Fishing,null,0,null
110,16,21,Usuki Shipyard Co Ltd,V7A4912,0-AllShips,Bureau Veritas,175.7,United States of America,8994,Ph Dvo,7.85,5.5,11110600,null,Marshall Islands,7627,33,9179402,YOKOHAMA KO,7.180083,139,125.665023,538009576,Lucena Carrier,1-AtAnchor,9576,Network Shipping Ltd Inc,Del Monte International,QBE Europe,Majuro,Propeller : Fixed Pitch,null,null,null,0,S,In Service/Commission,Refrigerated Cargo Ship,"""2022-11-11T16:25:51.000Z""",1668183951,7-Cargo,29/10/1999,21.57,null
144,12,25,Danyard A/S,C6KD8,0-AllShips,Bureau Veritas,16.9,Curacao,13930,Usglc,10.015,9.9,2460,null,Bahamas,13049,17,9015187,VLISSINGEN,39.905633,159,-75.126617,308090000,Hellas Stream,5-Moored,720424,Seatrade Reefer Chartering NV,Seatrade Groningen BV,Skuld,Nassau                                ,Propeller : Fixed Pitch,430809010,DEUT,null,0,S,In Service/Commission,Refrigerated Cargo Ship,"""2022-11-11T16:39:44.000Z""",1668184784,7-Cargo,03/05/1991,22,null
58,6,12,null,V4ZP2,0-AllShips,null,244.1,null,null,Tallinn.estonia,null,3.8,12280800,null,null,null,164,8211100,NUUK,59.458718,69,24.716273,341376000,Vestlandia,0-Underway(Engine),null,null,null,null,null,null,null,null,null,0,null,null,null,"""2021-01-04T09:02:22.000Z""",1609750942,7-Cargo,null,null,null
17,4,8,Rodman Polyships,3V4861,0-AllShips,null,0,Tunisia,310,Sfax..,3.5,3.6,9101000,TG 1068,Tunisia,249,249.4,9154414,MAHDIA,35.49716,34,11.065018,672525000,Majd,2-NotUnderCmd,null,Tunisia Tuna,  Unknown,Unknown,La Goulette,Propeller : Controllable Pitch,null,null,null,0,S,In Service/Commission,Fish Carrier,"""2022-11-11T16:35:10.000Z""",1668184510,30-Fishing,06/09/1996,9,SH
53,6,12,Kishigami,UBHX,0-AllShips,Russian Maritime Register,167.1,Russia,1363,Murmansk.,4.371,4,10221730,null,Russia,1416,234,8408258,MURMANSK,68.965815,71,33.047217,273415570,Antares,5-Moored,null,Antey Sever LLC,  Unknown,Unknown,Vladivostok,Propeller : Fixed Pitch,null,null,null,0,S,In Service/Commission,Refrigerated Cargo Ship,"""2022-11-11T16:36:32.000Z""",1668184592,7-Cargo,18/04/1984,12.5,null
22,3,7,null,YEA4605,0-AllShips,null,-1,null,null,,null,0,0,null,null,null,-1,0,BITUNG,1.449263,27,125.208005,525301988,Km. Perindo Maju 5,15-NotDefined,null,null,null,null,null,null,null,null,null,0.9,null,null,null,"""2022-06-26T23:49:54.000Z""",1656287394,30-Fishing,null,null,null
130,10,24,null,C6LF9,0-AllShips,null,0,null,null,Alang,null,7.6,6031900,null,null,null,0,9038335,null,59.343915,158,18.006115,308668000,Autumn Wave,1-AtAnchor,null,null,null,null,null,null,null,null,null,0.1,null,null,null,"""2022-10-12T10:24:16.000Z""",1665570256,7-Cargo,null,null,null
null,null,null,null,null,null,null,-1,null,null,null,null,null,null,null,null,null,-1,null,null,22.538632,null,120.336243,636012748,null,0-Underway(Engine),null,null,null,null,null,null,null,null,null,0,null,null,null,"""2022-06-01T17:26:10.000Z""",1654104370,null,null,null,null
